scenario,n,k,approach,seed,satisfied,req_viol,proh_viol,aspl,gap,deg_min,deg_max,connected,priors_kept,time,note
tags_proh,60,4,D_free_repair,0,True,0,0,3.1706,0.1407,4,4,True,,0.0065,
tags_proh,60,4,B+polish,0,True,0,0,2.8757,0.0346,4,4,True,,5.2368,
tags_proh,60,4,A_seat,1,True,0,0,2.948,0.0606,4,4,True,,0.0036,
tags_proh,60,4,B_constrained,1,True,0,0,2.9141,0.0484,4,4,True,,0.0099,
tags_proh,60,4,D_free_repair,1,True,0,0,3.0373,0.0927,4,4,True,,0.0064,
tags_proh,60,4,B+polish,1,True,0,0,2.8751,0.0343,4,4,True,,5.4392,
req_matching,60,4,A_seat,0,True,0,0,2.948,0.0606,4,4,True,,0.0166,
req_matching,60,4,B_constrained,0,True,0,0,2.9633,0.0661,3,4,True,,0.0092,
req_matching,60,4,D_free_repair,0,True,0,0,3.0876,0.1108,4,4,True,,0.0039,
req_matching,60,4,B+polish,0,True,0,0,2.9011,0.0437,3,4,True,,4.5726,
req_matching,60,4,A_seat,1,True,0,0,2.948,0.0606,4,4,True,,0.0069,
req_matching,60,4,B_constrained,1,True,0,0,2.9672,0.0675,3,4,True,,0.0089,
req_matching,60,4,D_free_repair,1,True,0,0,3.0395,0.0935,4,4,True,,0.0039,
req_matching,60,4,B+polish,1,True,0,0,2.896,0.0419,3,4,True,,4.6635,
req_triangles,60,4,A_seat,0,False,10,0,2.948,0.0606,4,4,True,,0.0152,
req_triangles,60,4,B_constrained,0,True,0,0,3.0164,0.0852,4,4,True,,0.0076,
req_triangles,60,4,D_free_repair,0,True,0,0,3.1768,0.1429,4,4,True,,0.0044,
req_triangles,60,4,B+polish,0,True,0,0,2.9638,0.0663,4,4,True,,3.3279,
req_triangles,60,4,A_seat,1,False,10,0,2.948,0.0606,4,4,True,,0.0195,
req_triangles,60,4,B_constrained,1,True,0,0,3.0079,0.0821,4,4,True,,0.0087,
req_triangles,60,4,D_free_repair,1,True,0,0,3.1226,0.1234,4,4,True,,0.0072,
req_triangles,60,4,B+polish,1,True,0,0,2.9678,0.0677,4,4,True,,3.2884,
mixed,60,4,A_seat,0,True,0,0,2.948,0.0606,4,4,True,,0.008,
